asin,title,price,old_price,rating,review_count,sales_last_month,link
B0DQQFJC9W,Maybelline New York Lifter Gloss Honey’d Nemlendirici Dudak Parlatıcısı - 29 Toast,519.9,519.9,4.2,46.0,,None
B01EZ5V3MY,Golden Rose Brow Color Tinted Eyebrow Mascara No: 02 Light Brown - Fiber İçerikli Kaş Maskarası,174.9,174.9,2.6,3.0,,None
B0F161V298,Pierre Cardin Staylong Lipcolor-Kissproof – Uzun Süre Kalıcı Lipgloss-5 ml-Paparazzi Pembe-352,3639.8,181.99,4.2,3.0,,None
B0094IKF4A,L'Oreal Paris Color Riche Intense Volume Matte Ruj - 550 Nude Unapologetic,436.0,436.0,4.4,51.0,,None
B08KYJJ73M,Mara Kozmetik IMM209.363 Saç Maskarası Açık Kumral,199.9,199.9,3.6,10.0,,None
B09XVMV2ZV,L'Oreal Paris Pro XXL Lift Çift Taraflı Maskara - Kirpik Lifting Etkisi,571.0,,4.2,2.0,,None
B0DYVPCX12,"CLASYCARE Radiant Göz Çevresi Serumu – Kafein Göz Serumu – Hyaluronik Asit ve C Vitamini ile Göz Altı Morlukları, Şişlik ve İnce Çizgilere Karşı Etkili – Tüm Cilt Tipleri İçin, 50 ml",299.0,299.0,3.4,3.0,,None
B07CN26X7G,Golden Rose Yumuşak ve Mat Kremsi Lipcolor No:106 1 Paket,323.9,323.9,4.0,57.0,,None
B07X1TSQLJ,Golden Rose Nude Look Natural Shine Lipgloss No: 01 Nude Delight - Doğal Parlak Dudak Parlatıcısı,260.0,,4.2,41.0,,None
B09D8TD85X,Jane Iredale HydroPure Hyaluronic Dudak Parlatıcı,758.01,758.01,3.9,37.0,,None
B0D5RH4XQ7,"Quality Life Göz Altı Morluk, Torbalanma, Kırışıklık, Koyu Halka ve Aydınlatıcı Göz Çevresi Kafein Serumu",3599.9,359.99,2.4,2.0,,None
B07VNH68J2,"Jane Iredale Beyond Matte Liquid Foundation, Likit Mat Fondöten (M4, 27 ml)",11091.67,2994.75,4.2,77.0,,None
B0C94WPNDX,Flormar Yağlı & Karma Ciltlere Özel Parlama Önlemeye Yardımcı SPF25 Mat Bitişli BB Krem 003 LIGHT,1174.77,411.17,,,,None
B0BSR4CPKB,Doa Kozmetik Laktik Asit AHA Tonik%10 laktik asit (%10 Lactic Acid),410.0,410.0,5.0,1.0,,None
B0CMDC7XXH,"Pastel Eye Cream + Hydrating Satin Concealer - Göz Kremi + Göz Altı Kapatıcısı, 66 Deep Medium, 4,3 ml",278.0,278.0,2.8,3.0,,None
B0FCXWC9PD,"CLASYCARE Aydınlatıcı Yüz Toniği – Hyaluronik Asitli Nemlendirici Leke Karşıtı – Sivilce İzleri İçin Tonik – Hassas ve Yağlı Ciltler İçin Nazik Bakım – Gözenek Sıkılaştırıcı Cilt Ürünü, 200 ml",180.79,,,,,None
B0FCXR1CRP,"CLASYCARE Kil Maskesi – Gözenek Sıkılaştırıcı ve Derinlemesine Temizleyici Yüz Maskesi | Siyah Nokta Karşıtı | Yağ Dengeleyici | Nemlendirici & Doğal İçerikli, 100 ml",280.57,280.57,3.2,6.0,,None
B0C24JXYWR,Show By Pastel Monochrome Eyeshadow 26 - Sand Dunes,147.67,147.67,4.0,24.0,,None
B0D152X2HY,Golden Rose Tattoo Gel Eyepencil No: 104 Glitzy Brown - 24 Saat Kalıcı Suya Dayanıklı Jel Göz Kalemi,350.0,350.0,,,,None
B01L8SG3O4,Gabrini Terracotta Blush On Allık (No: 31),97.43,97.43,5.0,2.0,,None
B077PXNL4G,"Maybelline New York Master Drama Lightliner Göz Kalemi, 25 Glimmerlight Pink, Metalik Açık Pembe",265.93,265.93,4.2,1.0,,None
B0FZCKJ7TG,"Cream Co. Likit Bronzer Glow Sculpt Eclipse, Kontür Nötr Koyu Kahve, Yüz Şekillendirici Nemlendirici Makyaj",449.9,449.9,,,,None
B0C94X7CTT,Water Lip Stain Su Bazlı & Kalıcı Dudak Renklendiricisi,4579.22,293.07,4.3,170.0,,None
B00QTD6FJW,Golden Rose Silky Touch Compact Powder No: 08 Soft Caramel - İpeksi Sıkıştırılmış Pudra 12 g,175.0,175.0,4.3,6.0,,None
B0BSR3SQNF,Doa Kozmetik Bha Tonik%2 Salisilik Asit (Salicylic Acid),370.0,370.0,,,,None
B0CV129BQ2,MISSHA C Vitamini İçerikli Leke Karşıtı Günlük Yaprak Maske Vita C Plus Daily Toning Mask,1068.65,1068.65,5.0,2.0,,None
B0BSR4LSX7,"Doa Kozmetik Retinal%0,025 Krem",440.0,440.0,5.0,1.0,,None
B0B34JXYFX,MISSHA Yoğun Esanslı Kalıcı Saç&Vücut Spreyi 105ml Dare Body Mist (Fresh Grapefruit),424.9,424.9,3.9,2.0,,None
B0F1FSTDM3,Pink Edt 100 ml Kadın Parfüm Niche Serisi,43999.0,439.99,,,,None
B0BSR4Y56W,"Doa Kozmetik Retinal%0,05 Krem",589.0,589.0,5.0,1.0,,None
B0BSR2KH3B,Doa Kozmetik L-Ascorbic Acid Serum Saf C Vitamini Serumu,380.0,380.0,5.0,1.0,,None
B0BSR4KJS1,Doa Kozmetik C Vitamini%10 Serum,559.0,559.0,,,,None
B0FQCKBQBH,W-Lab Kozmetik Ayak ve Tırnak Bakım Spreyi 100 Ml,276.18,276.18,,,,None
B00SA9LMZU,Golden Rose Velvet Matte Lipstick No: 03 - Yoğun Pigmentli Kadifemsi Mat Ruj,210.7,210.7,4.6,1.0,,None
B0BSR2VL94,Doa Kozmetik Bha Yüz Yıkama Jeli,410.0,410.0,,,,None
B08FDZKQNG,Mara Kozmetik French Manikür Kalemi Siyah,319.9,319.9,2.0,8.0,,None
B0G4D8VHYV,"NIVEA MEN Erkek Deep Dimension Duş Jeli 500 ml,Derinlemesine Temizlik,Bakımlı Cilt,Vücut,Yüz ve Saç İçin,Ferah Koku,Aktif Karbon (2 paketi)",523.22,,5.0,1.0,,None
B0CK2K98XV,SEYAHAT KİTİ-4'LÜ DOLDURULABİLİR ŞİŞE SETİ + KOZMETİK KUTU-1,185.0,,,,,None
B09V7PCWY5,Nascita 2'li Mini Makyaj Süngeri Fondöten + BB Krem,94.46,188.91,,,,None
6057858999,Doğal ve Endüstriyel Kozmetik Formülleri,356.9,,5.0,2.0,,None
B09QZ4D5BT,BEE BEAUTY SİYAH NOKTA KARŞITI TEMİZLEME BANDI AKTİF KARBON İÇERİKLİ - NOSE PORE STRIPS CHARCOAL,21.5,129.0,3.6,14.0,,None
B0FX531WBG,Peluş Yumuşacık Makyaj Çantası - Kozmetik Organizeri (Krem),119.99,,3.8,15.0,,None
B0FJRYQGB8,Seyahat Tipi Bölmeli Makyaj Kozmetik Çantası Organizer (Mor),329.99,,4.0,13.0,,None
B0BJQGJD1Q,NIVEA Güneş Koruyucu & Nemlendirici Sprey GKF50 200 ml + NIVEA Soft 75 ml el kremi,789.9,789.9,5.0,2.0,,None
B0DKG1YVCP,"Bioworld Tuvalet Kozmetik Seti, Hello Kitty Face AOP Kırmızı, OSFA",4478.25,,4.9,42.0,,None
